FORMAT: ID | PRODUCT NAME | FOLDER TO ADD IMAGE
hw-1546 | TWIN/DOUCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1547 | SINGLE PACARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1548 | SINGLE SWCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1549 | PVC CONDCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1557 | PVC 4-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1558 | PVC 3-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1559 | PVC 2-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1560 | PVC 1-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1565 | PVC ROUNCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1566 | INSULATINGLOBE | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1568 | BENDING SPRING 25MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1569 | BENDING SPRING 20MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1570 | ADAPTER BOX 85*85PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1571 | ADAPTER BOX 150*1PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1572 | ADAPTER BOX 200*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1573 | ADAPTER BOX 250*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1574 | ADAPTER BOX 255*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1575 | ADAPTER BOX 300*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1576 | ADAPTER BOX 450*3PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1582 | PVC FLEX CONDUIT | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1586 | INSTANT SLORENZETPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1587 | SHOWER HHORIZON | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1588 | METER BOX GALVANPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1591 | PVC | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1594 | MINI TRUNKING 2*1PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1595 | MINI TRUNKING 1*¾PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1609 | CONSUMEHAVELS | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3377 | COSLINK ANGLE HOLDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3379 | JEWEL DP SWITCH 20PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3380 | C&G; 2WAY CONSUMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3650 | CIRCULAR | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3701 | FLEX COND | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1275 | EXPANDED METAL H/PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1276 | EXPANDED METAL MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1277 | EXPANDED METAL L/PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1288 | EXPANDED PLASTIC | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1097 | G.I TEE 3" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1098 | G.I TEE 2" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1099 | G.I TEE 1½" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1100 | G.I TEE 1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1101 | G.I TEE 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1102 | G.I TEE ¾" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1103 | G.I TEE ½" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1104 | G.I R/TEE | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1105 | G.I HEX NIPPLE 3" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1106 | G.I HEX NIPPLE 2" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1107 | G.I HEX NIPPLE 1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1108 | G.I HEX NIPPLE 1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1109 | G.I HEX NIPPLE 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1110 | G.I HEX NIPPLE ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1111 | G.I HEX NIPPLE ½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1119 | G.I ENDCUP PLUG 3"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1120 | G.I ENDCUP PLUG 2"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1121 | G.I ENDCUP PLUG 1½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1122 | G.I ENDCUP PLUG 1¼PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1123 | G.I ENDCUP PLUG 1"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1124 | G.I ENDCUP PLUG ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1125 | G.I ENDCUP PLUG ½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1126 | G.I MALE PLUG 3" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1127 | G.I MALE PLUG 2" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1128 | G.I MALE PLUG 1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1129 | G.I MALE PLUG 1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1130 | G.I MALE PLUG 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1131 | G.I MALE PLUG ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1132 | G.I MALE PLUG ½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1133 | G.I BARREL NIPPLE 3"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1134 | G.I BARREL NIPPLE 2"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1135 | G.I BARREL NIPPLE 1½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1136 | G.I BARREL NIPPLE 1¼PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1137 | G.I BARREL NIPPLE 1"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1138 | G.I BARREL NIPPLE ¾PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1139 | G.I BARREL NIPPLE ½PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1140 | G.I UNION 3" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1141 | G.I UNION 2" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1142 | G.I UNION 1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1143 | G.I UNION 1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1144 | G.I UNION 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1145 | G.I UNION ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1146 | G.I UNION ½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1147 | G.I LONG THREAD NIPPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1153 | G.I BACK NUTS 3" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1154 | G.I BACK NUTS 2" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1155 | G.I BACK NUTS 1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1156 | G.I BACK NUTS 1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1157 | G.I BACK NUTS 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1158 | G.I BACK NUTS ¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1159 | G.I BACK NUTS ½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1161 | G.I R/S 2*1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1162 | G.I R/S 2*1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1163 | G.I R/S 2*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1164 | G.I R/S 2*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1165 | G.I R/S 2*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1166 | G.I R/S 1½*1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1167 | G.I R/S 1½*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1168 | G.I R/S 1½*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1169 | G.I R/S 1½*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1170 | G.I R/S 1¼*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1171 | G.I R/S 1¼*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1172 | G.I R/S 1¼*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1173 | G.I R/S 1*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1174 | G.I R/S 1*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1175 | G.I R/S ¾*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1176 | G.I R/B 2*1½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1177 | G.I R/B 2*1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1178 | G.I R/B 2*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1179 | G.I R/B 2*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1180 | G.I R/B 2*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1181 | G.I R/B 1½*1¼ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1182 | G.I R/B 1½*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1183 | G.I R/B 1½*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1184 | G.I R/B 1½*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1185 | G.I R/B 1¼*1 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1186 | G.I R/B 1¼*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1187 | G.I R/B 1¼*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1188 | G.I R/B 1"*¾ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1189 | G.I R/B 1"*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1190 | G.I R/B ¾*½ | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1191 | G.I M/F 1" LONG BENPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1192 | G.I M/F ¾ LONG BENPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1193 | G.I M/F ½ LONG BENPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-3702 | CONIX 1/2SCHNEEBEPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-3685 | MZITO WALL PUTTY | /home/kali/Desktop/NJAWAMU/src/assets/images/products/paints
hw-1334 | CYLINDER | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-1335 | STRAIGHT DRAWER | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1338 | STRAIGHT HANDLE 6"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-1341 | STRAIGHT HANDLE 9"PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-0818 | HDPE TEE 2"*63MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0819 | HDPE TEE 1½*50MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0820 | HDPE TEE 1¼*40MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0821 | HDPE TEE 1"*32MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0822 | HDPE TEE ¾*25MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0823 | HDPE TEE ½*20MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0824 | HDPE COUPLING 2"*PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0825 | HDPE COUPLING 1½*PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0826 | HDPE COUPLING 1¼*PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0827 | HDPE COUPLING 1"*PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0828 | HDPE COUPLING ¾*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0829 | HDPE COUPLING ½*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0830 | HDPE ELBOW 2"*63 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0831 | HDPE ELBOW 1½"*50PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0832 | HDPE ELBOW 1¼"*40PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0833 | HDPE ELBOW 1"*32MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0834 | HDPE ELBOW ¾"*25MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0835 | HDPE ELBOW ½"*20MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0836 | HDPE TEE 2"*50MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0837 | HDPE TEE 2"*40MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0838 | HDPE TEE 2"*32MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0839 | HDPE TEE 2"*25MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0840 | HDPE TEE 2"*20MM | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0841 | HDPE TEE 1½*40MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0842 | HDPE TEE 1½*32MMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
